csd_code,q,Stoichiometry,num_atoms,ligands_list,tm_oxs,ligands_q_list,reduction_pot
XESNER,-1,C6H3FeN6(1-),16,"['[C-]#N', '[C-]#N', '[C-]#N', '[C-]#[NH+]', '[C-]#[NH+]', '[C-]#[NH+]']",2,"[-1, -1, -1, 0, 0, 0]",1.987830450826946
OTIXEX,1,C17H23FeN2O2(1+),45,"['CN1[C]N(C)C=C1', 'Cc1c(C)c(C)[c-](C)c1C', '[C-]#[O+]', '[C-]#[O+]']",2,"[0, -1, 0, 0]",1.4827992562229297
IROMOU,-1,C21H17FeN6OS3(1-),49,"['CCOC(c1ccccn1)(c1ccccn1)c1ccccn1', '[N-]=C=S', '[N-]=C=S', '[N-]=C=S']",2,"[0, -1, -1, -1]",0.24531668707089588
SADRAU,0,C18H18FeN2O5S,45,"['COc1nc(C[C-]=O)c(C)c(O)c1C', 'Cc1cccc(=S)[n-]1', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",1.2755226906799313
QIXDEI,0,C13H18Cl2FeN4O,39,"['CC#N', 'NC(=O)C1CCCN1Cc1ccccn1', '[Cl-]', '[Cl-]']",2,"[0, 0, -1, -1]",0.3437508611134035
LEMRUQ,0,C16H12FeO2,31,"['O=C=C=[C-]C1C=CC=CC=C1', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",0.42941856761135694
GOSZUM,0,C16H22B2FeN4S2,47,"['[BH3-]C#N', '[BH3-]C#N', 'c1ccc(CSCCSCc2ccccn2)nc1']",2,"[-1, -1, 0]",0.8422078752419677
YISVUR,0,C14H10FeO4,29,"['O=[C-]OC(=O)c1ccccc1', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",0.0914106671923996
FIZPOT,0,C25H15FeO6P,48,"['O=C=C1OC(=O)C([C-]=O)=C(P(c2ccccc2)c2ccccc2)C1=O', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",0.5726432737430363
QOCCOE,0,C11H20Cl2FeN3P,38,"['CC(C)P(Nc1cccc(N)n1)C(C)C', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.34900707000173875
HABTOX,0,C18H18FeN2O2,41,"['CN(C)[C]C=C([C-]=O)c1ccccc1N', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",-0.23748831136779563
AMIYON,0,C20H24Br2FeNP,49,"['Cc1cc(P(C(C)C)C(C)C)c2ncc3ccccc3c2c1', '[Br-]', '[Br-]']",2,"[0, -1, -1]",0.07033146535260465
ENIQUQ,0,C12H11FeNO5,30,"['COC1CC(=O)[N-]C1=O', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",0.5898307190629575
KAYWUG,-1,C17H29FeI2(1-),49,"['CC(C)(C)c1cc(C(C)(C)C)[c-](C(C)(C)C)c1', '[I-]', '[I-]']",2,"[-1, -1, -1]",-0.5782693312397866
ATUPEN,0,C6H8FeN4O2,21,"['NCc1ccccn1', '[N-]=O', '[N-]=O']",2,"[0, -1, -1]",-0.23146949744194706
VEKZUH,0,C20H4BF11FeO3,40,"['Fc1c(F)c(F)c([B-](F)(c2ccc[cH-]2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",0.6057937910682669
PRACFE,0,C12H15FeO3P,32,"['CP(C)(C)=C[C-]=O', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",-0.11704772845156625
KAYXOB,-1,C17H29FeI2(1-),49,"['CC(C)(C)c1cc(C(C)(C)C)[c-](C(C)(C)C)c1', '[I-]', '[I-]']",2,"[-1, -1, -1]",-0.5116872675748658
YAJKUP,0,C16H21FeN3S4,45,"['NN', '[S-]c1ccccc1SCCNCCSc1ccccc1[S-]']",2,"[0, -2]",-0.1848826899909996
MELXUA,0,C15H10FeINO3S,32,"['O=[C-]c1ccccc1SCc1ccccn1', '[C-]#[O+]', '[C-]#[O+]', '[I-]']",2,"[-1, 0, 0, -1]",1.3688004086876198
YEJNOU,0,C13H19Cl2FeN3S2,40,"['CC1(c2cccc(C3(C)NCCS3)n2)NCCS1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.3923773181644517
LODVIJ,0,C13H9FeNO3,27,"['O=C=C1C=CC=CN1[C-]=O', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",-0.4112590520249377
AXACIO,0,C6H12FeN14O4,37,"['O', 'O', 'O', 'O', 'c1nncn1-c1nnn[n-]1', 'c1nncn1-c1nnn[n-]1']",2,"[0, 0, 0, 0, -1, -1]",0.9840263056322331
WAFWEJ,0,C19H17Cl2FeN5O2,46,"['Cn1ccccc1=NC(=O)c1cccc(C(=O)N=c2ccccn2C)n1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.1888617985346997
CECBOB,0,C16H14FeO2S4,37,"['CSc1ccccc1[S-]', 'CSc1ccccc1[S-]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",0.892530189754204
AHOLOB,0,C14H9FeNO2,27,"['[C-]#Cc1ccccn1', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",0.641032293318794
HIWXEQ,0,C12H13FeNO5,32,"['CCOC(=O)CN[C-]=O', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.1693935552389758
FIKLIY,0,C11H10FeO5Se,28,"['COC(=O)CC(=O)[Se-]', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",0.7718586728555425
ZETZOR,0,C9H16FeN6O2,34,"['CN(C)CCN=Cc1nccn1C', '[N-]=O', '[N-]=O']",2,"[0, -1, -1]",-0.1889054091087658
FEGVEW,0,C18H18Br2FeN4,43,"['[Br-]', '[Br-]', 'c1ccc(CN(Cc2ccccn2)Cc2ccccn2)nc1']",2,"[-1, -1, 0]",0.022826962238695903
GAVDEN,0,C12H16FeN2O8,39,"['O', 'O', 'O', 'O', 'O=C([O-])c1cccnc1', 'O=C([O-])c1cccnc1']",2,"[0, 0, 0, 0, -1, -1]",1.0684255850155144
NIYQAR,0,C15H20Br2FeNP,40,"['CC(C)P(c1cccc2cccnc12)C(C)C', '[Br-]', '[Br-]']",2,"[0, -1, -1]",0.36344017995884387
CERFEK,-1,C10H13FeN2O9(1-),35,"['O', 'O=C([O-])C=[N+](CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]']",2,"[0, -3]",0.7410533049171748
HUHHEA,0,C24H16FeN2O2,45,"['[C-]#[O+]', '[C-]#[O+]', '[c-]1ccccc1-c1ccccn1', '[c-]1ccccc1-c1ccccn1']",2,"[0, 0, -1, -1]",0.7472396626184368
VOHLEL,0,C17H15Br2FeN2PS,39,"['S=P(Nc1ccccn1)(c1ccccc1)c1ccccc1', '[Br-]', '[Br-]']",2,"[0, -1, -1]",0.23034703497003745
YIDRUC,0,C13H6Br4FeO2,26,"['Brc1c[c-](Br)c(Br)c1Br', '[C-]#[O+]', '[C-]#[O+]', '[c-]1ccccc1']",2,"[-1, 0, 0, -1]",0.44246882300697693
KUPQEU,0,C18H16FeN2O12,49,"['O', 'O', 'O=C([O-])C(=O)Nc1ccc(C(=O)O)cc1', 'O=C([O-])C(=O)Nc1ccc(C(=O)O)cc1']",2,"[0, 0, -1, -1]",0.8467394364960315
WAFWAF,0,C19H17Cl2FeN5O2,46,"['Cn1ccc(=NC(=O)c2cccc(C(=O)N=c3ccn(C)cc3)n2)cc1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",-0.05185497779368581
UPOWUU,0,C17H21Br2FeN3,44,"['CN1Cc2cccc(c2)CN(C)Cc2cccc(n2)C1', '[Br-]', '[Br-]']",2,"[0, -1, -1]",0.14346740229350258
NATHID,0,C14H22Cl2FeN4,43,"['CN1CCN(C)CC(C)(N=Cc2ccccn2)C1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.2478483267243588
MUXBOZ,0,C12H15FeNOSe,31,"['C[C-]=CC(=[Se])N(C)C', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",-0.23288793749124553
GEDMUX,0,C21H10F6FeN2O2,42,"['N#CC1(C#N)[C-]=C(c2ccccc2)C1(C(F)(F)F)C(F)(F)F', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.1264944523388862
GAHLOU,0,C8H5Br2FeNO3,20,"['[Br-]', '[Br-]', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]', 'c1ccncc1']",2,"[-1, -1, 0, 0, 0, 0]",2.114128423677953
VAMBUK,0,C20H18FeN4,43,"['CC1=CC=CC(=C2C=CC=N2)[N-]1', 'Cc1cccc(-c2ccc[n-]2)n1']",2,"[-1, -1]",0.13872819996442126
MUNXUR,1,C13H23FeN3O2P(1+),43,"['CN(C)P(N(C)C)N(C)C', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.5728094410097657
FEDFON,0,C8H10Cl2FeN4S2,27,"['Cn1ccnc1SSc1nccn1C', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.24624714944985265
YISZAF,0,C14H9FeNO2,27,"['N#Cc1cc[c-]cc1', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",0.2949818603102006
HAYVOW,0,C5H7FeI2NO3,19,"['CCN', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]', '[I-]', '[I-]']",2,"[0, 0, 0, 0, -1, -1]",1.4268708797515133
DOWZIZ,0,C13H14FeNO7P,37,"['COP(=O)(OC)C1CC(=O)[N-]C1=O', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.2393949768869674
BUKSAB,0,C14H14FeN2O7,38,"['COC(=O)[C-]=C(C(=O)OC)N1[N-]C2CCC1C2', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",0.9819746453889271
DEYFUM,0,C9H7F3FeO2,22,"['C1=CCC=C[CH-]1', 'F[C-](F)F', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",1.0961765268059736
COBKUC,0,C20H8FeN10O4,43,"['N#CC1=C(C#N)C(C#N)=C(C#N)C1=C=[N-]', 'N#CC1=C(C#N)C(C#N)=C(C#N)C1=C=[N-]', 'O', 'O', 'O', 'O']",2,"[-1, -1, 0, 0, 0, 0]",1.4537224910727289
BUNZIW,0,C18H17FeNO2,39,"['CN(C)[C-]=CC(=C=O)c1ccccc1', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",0.4318362489543695
HUPVUJ,0,C10H14FeO3Si,29,"['[C-]#[O+]', '[C-]#[O+]', '[CH2-][Si](C)(C)O', 'c1cc[cH-]c1']",2,"[0, 0, -1, -1]",0.08258890348744591
YAPXES,0,C19H15BFeO2,38,"['O=C=[B-](c1ccccc1)c1ccccc1', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",0.5604680352728486
DACLOM,0,C22H16FeN6,45,"['[C-]#N', '[C-]#N', 'c1ccc(-c2ccccn2)nc1', 'c1ccc(-c2ccccn2)nc1']",2,"[-1, -1, 0, 0]",0.7061496866346644
BEBTOR,1,C11H14FeNO2(1+),29,"['C=CN(C)C', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.433058346937005
QIXGUD,0,C18H14Cl2FeN2,37,"['C(=Nc1ccccc1)c1cccc(-c2ccccc2)n1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.4676319716301343
YAWNEP,0,C15H18FeN2O5,41,"['C[CH-]C=C[CH-]C(=O)NC1CCCCNC1=O', '[C-]#[O+]', '[C-]#[O+]', '[C-]#[O+]']",2,"[-2, 0, 0, 0]",1.525412973347377
OBIYIL,0,C16H17Cl2FeN3O3,42,"['OCC12COC(c3ccccn3)N1C(c1ccccn1)OC2', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.34670318983968046
CNOFEA,0,C7H5FeNO5,19,"['O=[N+]([O-])[O-]', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.1444337396103446
QIXGOX,0,C16H12Cl2FeN2,33,"['C(=Nc1ccccc1)c1ccc2ccccc2n1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.41588725408398447
AHONUJ,0,C15H8FeN2O2S,29,"['[C-]#Cc1cccc2nsnc12', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",-0.3210830787147538
GUYREA,1,C19H22FeO2P(1+),45,"['CC(C)(C)P1CC1c1ccccc1', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.7713802474055453
MELYAH,0,C16H12FeINO4S,36,"['COc1cccc(CSc2ccccc2[C-]=O)n1', '[C-]#[O+]', '[C-]#[O+]', '[I-]']",2,"[-1, 0, 0, -1]",1.192391877885499
KUBKEA,1,C17H23FeN5O2P(1+),49,"['CC#N', 'CC#N', 'CC(C)=P(Nc1cccc(N[C-]=O)n1)=C(C)C', '[C-]#[O+]']",2,"[0, 0, -1, 0]",1.069942470197011
INAMAO,-1,C6H3FeN6(1-),16,"['[C-]#N', '[C-]#N', '[C-]#N', '[C-]#[NH+]', '[C-]#[NH+]', '[C-]#[NH+]']",2,"[-1, -1, -1, 0, 0, 0]",2.0502773196840316
ZOWLAA,-1,C14H24BCl2FeN4(1-),46,"['CC(C)(C)N1[C]N([BH2-]N2[C]N(C(C)(C)C)C=C2)C=C1', '[Cl-]', '[Cl-]']",2,"[-1, -1, -1]",-0.3492837654182745
YITYOT,1,C20H21FeNOP(1+),45,"['NCCP(c1ccccc1)c1ccccc1', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, -1]",0.9755073614545597
XUXCOL,0,C13H15F3FeO2,34,"['Cc1c(C)c(C)[c-](C)c1C', 'F[C-](F)F', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",1.5813125394609029
ZITPOL,0,C14H28Cl2FeN4,49,"['C=CCN1CCN2CCN(C)CCN(CC1)CC2', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",-0.3667766106392049
DUPLOP,0,C14H16FeN10O2S2,45,"['Cc1ccn2ncnc2n1', 'Cc1ccn2ncnc2n1', 'O', 'O', '[N-]=C=S', '[N-]=C=S']",2,"[0, 0, 0, 0, -1, -1]",0.6167665074947217
WELFUS,0,C18H12Cl2FeN6,39,"['[Cl-]', '[Cl-]', 'c1ccc(-c2nc(-c3ccccn3)nc(-c3ccccn3)n2)nc1']",2,"[-1, -1, 0]",0.3451780451259719
OTIWEW,1,C16H22FeN3O2(1+),44,"['CC(C)c1[c-][n+](C(C)C)nn1C', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[0, 0, 0, -1]",1.7824568793921427
CPFPEY,0,C15H10FeO2,28,"['O=[C-]C#Cc1ccccc1', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",-0.24943421744293665
ORIJUX,0,C21H21BrFeO2,46,"['C=C=[C-]c1ccc(Br)cc1', 'Cc1c(C)c(C)[c-](C)c1C', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",1.149123428873082
ZAGTUW,0,C15H13FFeN2O5,37,"['O=[C-]Oc1nc(=O)n(C2CCCO2)cc1F', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, -1]",0.09713887571798702
ENIQIE,0,C13H13FeNO5,33,"['CCOC1CC(=O)[N-]C1=O', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.7895863971147363
VEBDIP,0,C7H10B2FeO2,22,"['[BH2-]=C=O', '[BH2-]=C=O', '[H+]', 'c1cc[cH-]c1']",2,"[-1, -1, 1, -1]",1.344234399870898
IDAKUX,0,C12H21Cl2FeN2P,39,"['CC(C)P(C(C)C)N(C)c1ccccn1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.19419142845149012
BAMDAY,0,C12H24FeI2O6,45,"['C1COCCOCCOCCOCCOCCO1', '[I-]', '[I-]']",2,"[0, -1, -1]",0.3176577066010651
WEHHAU,0,C12H11FeNO5S,31,"['CC(=O)[S-]', 'O=[C-]Cc1cccc(CO)n1', '[C-]#[O+]', '[C-]#[O+]']",2,"[-1, -1, 0, 0]",1.6189629861572408
HALKOY,0,C13H19Br2FeN3O2,40,"['COC(=O)c1ccccc1N=C(N(C)C)N(C)C', '[Br-]', '[Br-]']",2,"[0, -1, -1]",0.14628603260157186
HEYQIP,0,C13H7Cl3FeO2,26,"['Clc1cc[c-](Cl)c1Cl', '[C-]#[O+]', '[C-]#[O+]', '[c-]1ccccc1']",2,"[-1, 0, 0, -1]",0.42484385415238163
UPOXAB,0,C18H20BrFeN3O,44,"['CN1Cc2[c-]c(ccc2)CN(C)Cc2cccc(n2)C1', '[Br-]', '[C-]#[O+]']",2,"[-1, -1, 0]",-0.37506591536470885
RICVEI,0,C20H21FeIO3,46,"['COc1ccc(-[c-]2cc3c(c2)CCCCCC3)cc1', '[C-]#[O+]', '[C-]#[O+]', '[I-]']",2,"[-1, 0, 0, -1]",0.8225105038871916
URIWUQ,0,C12H12FeN6O4,35,"['O=NC=N[O-]', 'O=NC=N[O-]', 'c1ccncc1', 'c1ccncc1']",2,"[-1, -1, 0, 0]",1.5163600098342014
ZIKKEL,0,C17H25BFeN2O2,48,"['Cc1c(C)c(C)[c-](C)c1C', 'Cn1cc[n+](C)c1[BH2-][C-]=O', '[C-]#[O+]']",2,"[-1, -1, 0]",0.5558904668038165
LUFJOO,0,C15H11FeNO5,33,"['O=C1[N-]C(=O)C2C3C=CC(O3)C12', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",1.5380528507706461
XILLEK,1,C3H12FeN3O8(1+),27,"['O', 'O', 'O', 'O', 'O', 'O=c1[n-]c(=O)[nH]c(=O)[nH]1']",2,"[0, 0, 0, 0, 0, -1]",1.3024462709243652
IBUHOG,0,C17H23Cl2FeN3O2,48,"['CC(C)C1COC(c2cccc(C3=NC(C(C)C)CO3)n2)=N1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.24257891051891695
KEPNOM,0,C14H16Cl2FeN4O2,39,"['Cc1cccc(C=NO)n1', 'Cc1cccc(C=NO)n1', '[Cl-]', '[Cl-]']",2,"[0, 0, -1, -1]",0.6033327809383671
ZILYIC,0,C7H9FeNO7,25,"['O', 'O', 'O', 'O=C([O-])c1cccc(C(=O)[O-])n1']",2,"[0, 0, 0, -2]",0.9338590979310941
VUDJIQ,-1,C19H10Br2F5FeN4(1-),41,"['Fc1c(F)c(F)c(C(N=Nc2ccccc2)=N[N-]c2ccccc2)c(F)c1F', '[Br-]', '[Br-]']",2,"[-1, -1, -1]",0.08989558752757781
GESMIE,0,C13H5Br5FeO2,26,"['Brc1c(Br)c(Br)[c-](Br)c1Br', '[C-]#[O+]', '[C-]#[O+]', '[c-]1ccccc1']",2,"[-1, 0, 0, -1]",0.24275798845080915
YIQRAS,0,C4H8FeN18O2,33,"['O', 'O', 'n1n[n-]c(Nc2nnn[nH]2)n1', 'n1n[n-]c(Nc2nnn[nH]2)n1']",2,"[0, 0, -1, -1]",0.5885663579617393
GESMEA,0,C13H5Cl5FeO2,26,"['Clc1c(Cl)c(Cl)[c-](Cl)c1Cl', '[C-]#[O+]', '[C-]#[O+]', '[c-]1ccccc1']",2,"[-1, 0, 0, -1]",1.0183262526045904
UYOGIB,0,C12H12FeO3Se,29,"['CC(C)=CC(=O)[Se-]', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",0.27973141237713667
ILINEZ,0,C14H12Cl2FeN2,31,"['Cc1ccc2ccc3ccc(C)nc3c2n1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.19522035393020137
MUBVIR,-1,C7H8Cl3FeN4O(1-),24,"['NC(=O)NN=Cc1ccccn1', '[Cl-]', '[Cl-]', '[Cl-]']",2,"[0, -1, -1, -1]",0.1574859896381831
ZIWZAI,1,C21H21FeIN5(1+),49,"['Nc1ccccc1N', 'Nc1ccccc1Nc1cccc2cccnc12', '[I-]']",2,"[0, 0, -1]",-0.05094015483610298
NATHEZ,0,C15H24Cl2FeN4,46,"['CC(=NC1(C)CN(C)CCN(C)C1)c1ccccn1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",-0.043803332856376886
FEGTUK,0,C13H15Br2FeN3,34,"['CN(Cc1ccccn1)Cc1ccccn1', '[Br-]', '[Br-]']",2,"[0, -1, -1]",0.04522834559275318
FESWIM,0,C14H16FeN6O4S2,43,"['NC(=O)c1cccnc1', 'NC(=O)c1cccnc1', 'O', 'O', '[N-]=C=S', '[N-]=C=S']",2,"[0, 0, 0, 0, -1, -1]",0.4141403443852914
VADRUR,0,C11H22FeN4O2,40,"['CCC(CC)=NCCN1CCCC1', '[N-]=O', '[N-]=O']",2,"[0, -1, -1]",0.016424182054364078
BURBOI,0,C20H12Cl2FeN12,47,"['N#Cc1cnccn1', 'N#Cc1cnccn1', 'N#Cc1cnccn1', 'N#Cc1cnccn1', '[Cl-]', '[Cl-]']",2,"[0, 0, 0, 0, -1, -1]",0.8271552646565581
QELZOX,0,C14H14FeN4O7,40,"['Cc1ccc2ccc3ccc(C)nc3c2n1', 'O', 'O=[N+]([O-])[O-]', 'O=[N+]([O-])[O-]']",2,"[0, 0, -1, -1]",1.0033233237726635
DAQCEH,0,C16H17Cl2FeN3O3,42,"['OCC12COC(c3ccccn3)N1C(c1ccccn1)OC2', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.10901640489625813
BOBKIQ,0,C20H18FeN6O2S2,49,['CC(N=NC(=S)NC(=O)c1ccccc1)=C(C)[N-]N=C([S-])NC(=O)c1ccccc1'],2,[-2],-0.062757374698797
OFANER,0,C4H12FeN2O6,25,"['NCC(=O)[O-]', 'NCC(=O)[O-]', 'O', 'O']",2,"[-1, -1, 0, 0]",0.3891438924390361
QEHZUY,0,C8H12FeN6O2,29,"['Cn1ccnc1', 'Cn1ccnc1', '[N-]=O', '[N-]=O']",2,"[0, 0, -1, -1]",-0.0809279583479034
QIGMOM,0,C17H16Cl2FeN4,40,"['[Cl-]', '[Cl-]', 'c1ccc2[nH]c(CCCc3nc4ccccc4[nH]3)nc2c1']",2,"[-1, -1, 0]",0.26832979617484015
NEYJUY,0,C8H21Cl3FeN4,37,"['C1CNCCN1', 'C1C[NH2+]CCN1', '[Cl-]', '[Cl-]', '[Cl-]']",2,"[0, 1, -1, -1, -1]",-0.028182826419649476
